Item Group Code,Item Group,Item Code,Item,Crop,Crop category,Comment,Factor,HS Code,HS07 Code,HS12 Code,CPC Code
1729,"Treenuts, Total",217,"Cashew nuts, with shell",,Other,,1,,80131,80131,1372
1729,"Treenuts, Total",220,Chestnut,,Other,,1,,80240,"080241, 080242",1373
1729,"Treenuts, Total",225,"Hazelnuts, with shell",,Other,,1,,80221,80221,1374
1729,"Treenuts, Total",234,Nuts nes,,Other,,1,,"080260, 080290","080261, 080262, 080290",1379.9
1729,"Treenuts, Total",223,Pistachios,,Other,,1,,80250,"080251, 080252",1375
1729,"Treenuts, Total",222,"Walnuts, with shell",,Other,,1,,80231,80231,1376
1735,Vegetables Primary,366,Artichokes,,Other,,1,,70990,70991,1216
1735,Vegetables Primary,367,Asparagus,,Other,,1,,70920,70920,1211
1735,Vegetables Primary,414,"Beans, green",,Other,,1,,70820,70820,1241.9
1735,Vegetables Primary,358,Cabbages and other brassicas,,Other,,1,,"070420, 070490","070420, 070490",1212
1735,Vegetables Primary,426,Carrots and turnips,,Other,,1,,70610,70610,1251
1735,Vegetables Primary,378,Cassava leaves,,Other,,1,,70990,70999,1219.01
1735,Vegetables Primary,393,Cauliflowers and broccoli,,Other,,1,,70410,70410,1213
1735,Vegetables Primary,401,"Chillies and peppers, green",,Other,,1,,70960,70960,1231
1735,Vegetables Primary,397,Cucumbers and gherkins,,Other,,1,,70700,70700,1232
1735,Vegetables Primary,399,Eggplants (aubergines),,Other,,1,,70930,70930,1233
1735,Vegetables Primary,406,Garlic,,Other,,1,,70320,70320,1252
1735,Vegetables Primary,407,"Leeks, other alliaceous vegetables",,Other,,1,,70390,70390,1254
1735,Vegetables Primary,372,Lettuce and chicory,,Other,,1,,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529",1214
1735,Vegetables Primary,446,"Maize, green",,Other,,1,,70990,70999,1290.01
1735,Vegetables Primary,449,Mushrooms and truffles,,Other,,1,,"070951, 070959","070951, 070959",1270
1735,Vegetables Primary,430,Okra,,Other,,1,,70990,70999,1239.01
1735,Vegetables Primary,403,"Onions, dry",,Other,,1,,70310,70310,1253.02
1735,Vegetables Primary,402,"Onions, shallots, green",,Other,,1,,70310,70310,1253.01
1735,Vegetables Primary,417,"Peas, green",,Other,,1,,70810,70810,1242
1735,Vegetables Primary,394,"Pumpkins, squash and gourds",,Other,,1,,70990,70993,1235
1735,Vegetables Primary,373,Spinach,,Other,,1,,70970,70970,1215
1735,Vegetables Primary,423,String beans,,Other,,1,,70820,70820,1241.01
1735,Vegetables Primary,388,Tomatoes,,Other,,1,,70200,70200,1234
1735,Vegetables Primary,463,"Vegetables, fresh nes",,Other,,1,,"070690, 070940, 070990","070690, 070940, 070999",1290.9
1735,Vegetables Primary,420,"Vegetables, leguminous nes",,Other,,1,,70890,70890,1243
